"Hostname","CheckMK ID","Reachable","Uptime Days","Uptime Hours","Reboot Pending","WSUS Update script","Reboot Script","WSUS Update Task","WSUS Reboot Task","Powershell version"
"KRE04TRMMM1-1.mmsrg.net","DE-M095-KRE04TRMMM1-1","True","0","6","False","Exists","Exists",,"Ready","5"
"HCH04TRMMM1-1.mmsrg.net","DE-M187-HCH04TRMMM1-1","True","0","6","False","Exists","Exists",,"Ready","5"
"ALZ04TRMMM1-1.mmsrg.net","DE-M191-ALZ04TRMMM1-1","True","0","6","False","Exists","Exists",,"Ready","5"
"MOE04TRMMM1-1.mmsrg.net","DE-M209-MOE04TRMMM1-1","True","0","6","False","Exists","Exists",,"Ready","5"
"WHM04TRMMM1-1.mmsrg.net","DE-M175-WHM04TRMMM1-1","True","0","6","False","Exists","Exists",,"Ready","5"
"ROS04TRMMM2-1.mmsrg.net","DE-M159-ROS04TRMMM2-1","True","0","6","False","Exists","Exists",,"Ready","5"
"WET04TRMMM1-1.mmsrg.net","DE-M196-WET04TRMMM1-1","True","0","6","False","Exists","Exists",,"Ready","5"
"SGN04TRMMM1-1.mmsrg.net","DE-M214-SGN04TRMMM1-1","True","0","6","False","Exists","Exists",,"Ready","5"
"ESW04TRMMM1-1.mmsrg.net","DE-M223-ESW04TRMMM1-1","True","0","6","False","Exists","Exists",,"Ready","5"
"GRE04TRMMM1-1.mmsrg.net","DE-M155-GRE04TRMMM1-1","True","0","6","False","Exists","Exists",,"Ready","5"
"GIE04TRMMM1-1.mmsrg.net","DE-M207-GIE04TRMMM1-1","True","0","6","False","Exists","Exists",,"Ready","5"
"DUS04TRMMM2-1.mmsrg.net","DE-M228-DUS04TRMMM2-1","True","0","6","False","Exists","Exists",,"Ready","5"
"NEU04TRMMM1-1.mmsrg.net","DE-M227-NEU04TRMMM1-1","True","0","6","False","Exists","Exists",,"Ready","5"
"MRB04TRMMM1-1.mmsrg.net","DE-M174-MRB04TRMMM1-1","True","0","6","False","Exists","Exists",,"Ready","5"
"ERD04TRMMM1-1.mmsrg.net","DE-M230-ERD04TRMMM1-1","True","0","6","False","Exists","Exists",,"Ready","5"
"KAD04TRMMM1-1.mmsrg.net","DE-M262-KAD04TRMMM1-1","True","0","6","False","Exists","Exists",,"Ready","5"
"ROS04TRMMM1-1.mmsrg.net","DE-M058-ROS04TRMMM1-1","True","0","6","False","Exists","Exists",,"Ready","5"
"WIE04TRMMM2-1.mmsrg.net","DE-M237-WIE04TRMMM2-1","True","0","6","False","Exists","Exists",,"Ready","5"
"DUS04TRMMM1-1.mmsrg.net","DE-M190-DUS04TRMMM1-1","True","0","6","False","Exists","Exists",,"Ready","5"
"LBU04TRMMM1-1.mmsrg.net","DE-M049-LBU04TRMMM1-1","True","0","6","False","Exists","Exists",,"Ready","5"
"NBB04TRMMM1-1.mmsrg.net","DE-M109-NBB04TRMMM1-1","True","0","6","False","Exists","Exists",,"Ready","5"
"BHA04TRMMM1-1.mmsrg.net","DE-M400-BHA04TRMMM1-1","True","0","6","False","Exists","Exists",,"Ready","5"
"MUC04TRMMM5-1.mmsrg.net","DE-M313-MUC04TRMMM5-1","True","0","6","False","Exists","Exists",,"Ready","5"
"MAI04TRMMM1-1.mmsrg.net","DE-M056-MAI04TRMMM1-1","True","0","6","False","Exists","Exists",,"Ready","5"
"AAC04TRMMM1-1.mmsrg.net","DE-M059-AAC04TRMMM1-1","True","0","6","False","Exists","Exists",,"Ready","5"
"HZR04TRMMM1-1.mmsrg.net","DE-M028-HZR04TRMMM1-1","True","0","6","False","Exists","Exists",,"Ready","5"
"BIS04TRMMM1-1.mmsrg.net","DE-M085-BIS04TRMMM1-1","True","0","6","False","Exists","Exists",,"Ready","5"
"WIE04TRMMM1-1.mmsrg.net","DE-M168-WIE04TRMMM1-1","True","0","6","False","Exists","Exists",,"Ready","5"
"STS04TRMMM1-1.mmsrg.net","DE-M099-STS04TRMMM1-1","True","0","6","False","Exists","Exists",,"Ready","5"
